1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.003,-0.003,-0.026,-0.013,0.0,-0.022,0.01,0.0,-0.006,0.013,-0.003,-0.003,-0.026,-0.013,0.0,-0.022,0.01,0.0,-0.006,0.013,0.061,0.042,0.032,0.048,0.042,0.003,0.006,-0.006,-0.016,-0.019,-0.026,-0.022,-0.003,0.003,0.019,0.038,0.045,0.029,0.003,-0.003,0.01,-0.032,-0.073,-0.048,-0.073,-0.067,-0.057,-0.048,-0.042,-0.128
-0.013,-0.003,-0.032,-0.01,-0.003,-0.006,0.006,-0.013,-0.013,0.019,-0.013,-0.003,-0.032,-0.01,-0.003,-0.006,0.006,-0.013,-0.013,0.019,0.038,0.035,0.026,0.035,0.038,0.016,0.022,-0.003,-0.016,-0.019,-0.032,-0.022,0.019,-0.01,0.01,0.032,0.045,0.035,0.013,0.0,0.042,-0.003,-0.051,-0.048,-0.032,-0.096,-0.054,-0.016,-0.073,-0.233
-0.013,-0.016,-0.016,0.0,0.0,0.003,-0.003,-0.013,-0.003,-0.006,-0.013,-0.016,-0.016,0.0,0.0,0.003,-0.003,-0.013,-0.003,-0.006,0.045,0.022,0.032,0.035,0.035,0.048,0.035,0.0,-0.026,-0.013,-0.019,-0.048,0.054,-0.029,-0.013,0.035,0.035,0.032,0.032,0.01,0.061,0.019,-0.016,-0.029,0.0,-0.07,-0.022,-0.003,-0.064,-0.141
-0.01,-0.013,0.006,0.01,-0.013,0.003,-0.013,-0.003,-0.006,-0.016,-0.01,-0.013,0.006,0.01,-0.013,0.003,-0.013,-0.003,-0.006,-0.016,0.013,0.019,0.01,0.022,0.022,0.048,0.038,0.003,-0.01,-0.01,-0.019,-0.026,0.064,-0.029,-0.032,0.026,0.026,0.029,0.035,0.016,0.109,0.035,0.016,-0.006,0.022,-0.032,-0.003,0.022,-0.029,-0.054
-0.01,-0.003,-0.01,0.0,-0.003,0.003,-0.013,-0.01,0.0,-0.006,-0.01,-0.003,-0.01,0.0,-0.003,0.003,-0.013,-0.01,0.0,-0.006,-0.006,0.0,-0.003,0.01,0.019,0.051,0.038,0.003,0.0,-0.013,-0.013,-0.022,0.038,-0.029,-0.032,-0.003,0.019,0.029,0.035,0.035,0.131,0.067,0.042,0.006,0.048,0.006,0.026,0.038,-0.003,0.208
0.0,0.006,-0.01,-0.01,-0.003,0.0,-0.006,-0.003,-0.003,-0.013,0.0,0.006,-0.01,-0.01,-0.003,0.0,-0.006,-0.003,-0.003,-0.013,-0.013,-0.026,-0.022,-0.006,0.0,0.042,0.038,0.013,0.0,-0.006,-0.01,-0.01,-0.01,-0.019,-0.032,-0.016,0.0,0.029,0.029,0.032,0.121,0.083,0.064,0.029,0.086,0.042,0.042,0.083,0.022,0.243
-0.006,0.019,-0.003,-0.003,-0.016,-0.016,-0.013,0.0,0.0,-0.013,-0.006,0.019,-0.003,-0.003,-0.016,-0.016,-0.013,0.0,0.0,-0.013,-0.029,-0.042,-0.038,-0.019,-0.006,0.019,0.029,0.035,-0.006,0.0,-0.01,0.0,-0.026,-0.019,-0.022,-0.026,-0.006,0.01,0.022,0.032,0.054,0.099,0.089,0.051,0.105,0.07,0.089,0.102,0.042,0.217
-0.016,-0.01,0.0,-0.003,0.003,-0.029,-0.01,-0.01,-0.016,-0.026,-0.016,-0.01,0.0,-0.003,0.003,-0.029,-0.01,-0.01,-0.016,-0.026,-0.077,-0.032,-0.026,-0.019,-0.026,-0.006,0.022,0.042,0.006,0.003,-0.006,0.0,-0.022,-0.016,-0.016,-0.029,-0.029,-0.01,0.029,0.029,-0.01,0.073,0.109,0.073,0.105,0.115,0.089,0.099,0.086,0.141
-0.01,-0.019,-0.003,0.0,0.003,-0.006,-0.013,-0.01,-0.016,0.006,-0.01,-0.019,-0.003,0.0,0.003,-0.006,-0.013,-0.01,-0.016,0.006,-0.121,-0.026,-0.022,-0.01,-0.035,-0.032,0.01,0.038,0.019,0.003,-0.003,0.016,-0.022,-0.006,-0.003,-0.026,-0.032,-0.019,0.016,0.026,-0.029,0.013,0.083,0.083,0.073,0.128,0.086,0.061,0.102,-0.093
-0.013,-0.013,-0.003,0.0,-0.01,0.0,-0.003,-0.003,-0.006,0.003,-0.013,-0.013,-0.003,0.0,-0.01,0.0,-0.003,-0.003,-0.006,0.003,-0.099,-0.01,-0.016,-0.013,-0.026,-0.042,-0.006,0.042,0.029,0.006,0.013,0.013,-0.038,0.0,0.003,-0.022,-0.026,-0.029,0.003,0.016,-0.038,-0.022,0.026,0.067,0.01,0.109,0.051,-0.003,0.102,-0.323
-0.006,-0.013,0.0,-0.01,-0.003,-0.003,-0.01,0.0,0.003,0.0,-0.006,-0.013,0.0,-0.01,-0.003,-0.003,-0.01,0.0,0.003,0.0,-0.038,-0.006,-0.01,-0.01,-0.022,-0.042,-0.026,0.029,0.051,0.016,0.013,-0.003,-0.016,0.003,0.006,-0.022,-0.026,-0.026,-0.019,0.003,-0.029,-0.029,-0.006,0.013,-0.022,0.051,-0.003,-0.022,0.067,-0.281
-0.01,0.0,-0.003,-0.006,-0.006,-0.01,-0.003,-0.003,-0.006,0.0,-0.01,0.0,-0.003,-0.006,-0.006,-0.01,-0.003,-0.003,-0.006,0.0,0.035,-0.003,-0.003,-0.016,-0.016,-0.022,-0.038,0.013,0.038,0.026,0.006,0.022,0.01,0.003,-0.003,-0.013,-0.016,-0.016,-0.042,-0.016,-0.032,-0.019,-0.032,-0.016,-0.026,0.0,-0.026,-0.026,0.01,-0.195
0.0,0.0,-0.003,-0.019,-0.003,-0.016,-0.006,-0.013,-0.006,0.0,0.0,0.0,-0.003,-0.019,-0.003,-0.016,-0.006,-0.013,-0.006,0.0,0.029,-0.006,-0.003,0.0,-0.01,-0.013,-0.032,0.003,0.045,0.042,0.019,0.01,-0.013,0.006,0.003,0.0,-0.013,-0.013,-0.026,-0.032,-0.026,-0.006,-0.032,-0.029,-0.029,-0.029,-0.026,-0.029,-0.013,-0.057
0.0,0.0,-0.01,-0.029,0.0,-0.006,0.006,-0.01,-0.006,-0.003,0.0,0.0,-0.01,-0.029,0.0,-0.006,0.006,-0.01,-0.006,-0.003,-0.016,-0.013,0.0,0.038,-0.006,-0.016,-0.022,-0.013,0.035,0.038,0.038,0.032,-0.032,0.016,0.01,-0.003,-0.006,-0.01,-0.029,-0.029,-0.026,-0.01,-0.019,-0.022,-0.029,-0.035,-0.022,-0.022,-0.029,0.064
